g,value
agr,0.008792067731782323
fsh,0.007058546360018984
min,0.14040693563807294
foo,0.1203177207472072
txt,0.05540228287504342
mac,0.037029882904804697
chm,0.03912020379646043
con,0.03893505199931246
trn,0.014529204509194038
edu,0.009146141913309414
srv,0.03226709795319031
htl,0.02192668721463663
