g,value
agr,1.0483483390065598
fsh,1.0091842895844527
min,1.0203622116192652
foo,1.0933288998184418
txt,1.0724404826576683
mac,1.0885358120500368
chm,1.0483909907892457
con,1.0
com,1.0
trn,1.0
hea,1.0
edu,1.0
gov,1.0
srv,1.0
htl,1.0
