uni,value
costau,1.5313472772973709
sierrau,1.0502551596963485
selvau,0.4073157840802326
lima,4.805826265337079
costar,0.26333272532745694
sierrar,0.7247070069935589
selvar,0.2433273724879531
ent,2.1666803483807606
govt,11.19279193960076
