g,value
agr,3.9377551360000003
fsh,-1.822857216
min,-3.663511552
foo,1.4620958720000001
txt,-2.923483136
mac,-0.578428928
chm,4.43293696
con,1.020770304
trn,2.75628032
hea,0.868860928
edu,-0.7172505600000001
gov,-3.076442112
srv,-0.9857720320000001
htl,0.82839552
