uni,element_text
costau,Hogar costa urbana
sierrau,Hogar sierra urbana
selvau,Hogar selva urbana
lima,Hogar Lima metropolitana
costar,Hogar costa rural
sierrar,Hogar sierra rural
selvar,Hogar selva rural
