s,value
agr,1.1719532739639216
fsh,0.22579648221398507
foo,3.156504853753795
txt,0.03565094204322628
mac,0.10452765666896231
trn,0.006866314102564806
hea,0.01089689897559468
edu,0.011015119061267547
htl,10.009232746524606
